year_code,quarter_code,commercial_district_code,apartment_avg_price_by_area_now,apartment_avg_price_by_area_previous,apartment_avg_diff
2022,4,3110008,1063938.8212165546,1063938.8212165546,0.0
2022,3,3110008,1063938.8212165546,973325.976756465,90612.84446008957
2022,2,3110008,1063938.8212165546,973325.976756465,90612.84446008957
2022,1,3110008,1063938.8212165546,973325.976756465,90612.84446008957
2022,4,3110009,864352.6178330532,864352.6178330532,0.0
2022,3,3110009,864352.6178330532,762780.283603901,101572.33422915218
2022,2,3110009,864352.6178330532,762780.283603901,101572.33422915218
2022,1,3110009,864352.6178330532,762780.283603901,101572.33422915218
2022,4,3110010,1242760.8761969383,1238242.3376574374,4518.538539500907
2022,3,3110010,1238242.3376574374,1106168.1342102727,132074.20344716473
2022,2,3110010,1238242.3376574374,1106168.1342102727,132074.20344716473
2022,1,3110010,1238242.3376574374,1106168.1342102727,132074.20344716473
2022,4,3110017,2128498.2579345815,2128498.2579345815,0.0
2022,3,3110017,2128498.2579345815,1813805.7994063846,314692.4585281969
2022,2,3110017,2128498.2579345815,1813805.7994063846,314692.4585281969
2022,1,3110017,2128498.2579345815,1813805.7994063846,314692.4585281969
2022,4,3110018,1053730.330618452,1053730.330618452,0.0
2022,3,3110018,1053730.330618452,943880.261548544,109850.069069908
2022,2,3110018,1053730.330618452,943880.261548544,109850.069069908
2022,1,3110018,1053730.330618452,943880.261548544,109850.069069908
2022,4,3110020,787864.2724835315,787864.2724835315,0.0
2022,3,3110020,787864.2724835315,678650.6186331947,109213.65385033679
2022,2,3110020,787864.2724835315,678650.6186331947,109213.65385033679
2022,1,3110020,787864.2724835315,678650.6186331947,109213.65385033679
2022,4,3110001,1145212.2961596893,1145212.2961596893,0.0
2022,3,3110001,1145212.2961596893,1006155.5224036553,139056.77375603397
2022,2,3110001,1145212.2961596893,1006155.5224036553,139056.77375603397
2022,1,3110001,1145212.2961596893,1006155.5224036553,139056.77375603397
2022,4,3110002,1514558.060949937,1514558.060949937,0.0
2022,3,3110002,1514558.060949937,786673.6045829038,727884.4563670332
2022,2,3110002,1514558.060949937,786673.6045829038,727884.4563670332
2022,1,3110002,1514558.060949937,786673.6045829038,727884.4563670332
2022,4,3110003,1043897.3390975787,1043897.3390975787,0.0
2022,3,3110003,1043897.3390975787,800931.9475177826,242965.3915797961
2022,2,3110003,1043897.3390975787,800931.9475177826,242965.3915797961
2022,1,3110003,1043897.3390975787,800931.9475177826,242965.3915797961
2022,4,3110004,802936.5515176432,802936.5515176432,0.0
2022,3,3110004,802936.5515176432,738350.9962822804,64585.55523536273
2022,2,3110004,802936.5515176432,738350.9962822804,64585.55523536273
2022,1,3110004,802936.5515176432,738350.9962822804,64585.55523536273
2022,4,3110035,899038.5823364584,895423.3607811551,3615.2215553033166
2022,3,3110035,895423.3607811551,761148.2157063818,134275.14507477323
2022,2,3110035,895423.3607811551,761148.2157063818,134275.14507477323
2022,1,3110035,895423.3607811551,761148.2157063818,134275.14507477323
2022,4,3110012,1870661.3645101197,1870661.3645101197,0.0
2022,3,3110012,1870661.3645101197,1438734.2718143174,431927.0926958022
2022,2,3110012,1870661.3645101197,1438734.2718143174,431927.0926958022
2022,1,3110012,1870661.3645101197,1438734.2718143174,431927.0926958022
2022,4,3110014,1168906.888609592,1168906.888609592,0.0
2022,3,3110014,1168906.888609592,1020259.9699876783,148646.91862191376
2022,2,3110014,1168906.888609592,1020259.9699876783,148646.91862191376
2022,1,3110014,1168906.888609592,1020259.9699876783,148646.91862191376
2022,4,3110016,1072058.533824282,1072058.533824282,0.0
2022,3,3110016,1072058.533824282,856546.2790721145,215512.2547521675
2022,2,3110016,1072058.533824282,856546.2790721145,215512.2547521675
2022,1,3110016,1072058.533824282,856546.2790721145,215512.2547521675
2022,4,3110005,1010222.4870921612,1010222.4870921612,0.0
2022,3,3110005,1010222.4870921612,914661.3057097389,95561.18138242234
2022,2,3110005,1010222.4870921612,914661.3057097389,95561.18138242234
2022,1,3110005,1010222.4870921612,914661.3057097389,95561.18138242234
2022,4,3110006,1036669.6171757556,1036669.6171757556,0.0
2022,3,3110006,1036669.6171757556,914184.734265689,122484.88291006652
2022,2,3110006,1036669.6171757556,914184.734265689,122484.88291006652
2022,1,3110006,1036669.6171757556,914184.734265689,122484.88291006652
2022,4,3110007,836352.385644937,834895.6723524127,1456.713292524335
2022,3,3110007,834895.6723524127,778294.5680155122,56601.10433690052
2022,2,3110007,834895.6723524127,778294.5680155122,56601.10433690052
2022,1,3110007,834895.6723524127,778294.5680155122,56601.10433690052
2022,4,3110037,922544.2446318546,922544.2446318546,0.0
2022,3,3110037,922544.2446318546,809180.136600808,113364.10803104658
2022,2,3110037,922544.2446318546,809180.136600808,113364.10803104658
2022,1,3110037,922544.2446318546,809180.136600808,113364.10803104658
2022,4,3110021,1046867.4288297262,1056817.211871696,-9949.783041969757
2022,3,3110021,1056817.211871696,953664.0258455619,103153.18602613406
2022,2,3110021,1056817.211871696,953664.0258455619,103153.18602613406
2022,1,3110021,1056817.211871696,953664.0258455619,103153.18602613406
2022,4,3110022,1124294.5475707147,1124294.5475707147,0.0
2022,3,3110022,1124294.5475707147,1014335.5530353871,109958.99453532766
2022,2,3110022,1124294.5475707147,1014335.5530353871,109958.99453532766
2022,1,3110022,1124294.5475707147,1014335.5530353871,109958.99453532766
2022,4,3110023,827467.6135393241,827467.6135393241,0.0
2022,3,3110023,827467.6135393241,751938.1596074308,75529.45393189334
2022,2,3110023,827467.6135393241,751938.1596074308,75529.45393189334
