year_code,quarter_code,commercial_district_code,total_facilities_now,total_facilities_previous,facilities_diff
2023,2,3110439,15.0,15.0,0.0
2023,3,3110439,15.0,15.0,0.0
2023,1,3110440,7.0,7.0,0.0
2023,2,3110440,7.0,7.0,0.0
2023,3,3110440,7.0,7.0,0.0
2023,1,3110441,10.0,10.0,0.0
2023,2,3110441,10.0,10.0,0.0
2023,3,3110441,10.0,10.0,0.0
2023,1,3110442,3.0,3.0,0.0
2023,2,3110442,3.0,3.0,0.0
2023,3,3110442,3.0,3.0,0.0
2023,1,3110425,24.0,24.0,0.0
2023,2,3110425,24.0,24.0,0.0
2023,3,3110425,24.0,24.0,0.0
2023,1,3110474,15.0,15.0,0.0
2023,2,3110474,15.0,15.0,0.0
2023,3,3110474,15.0,15.0,0.0
2023,1,3110451,20.0,20.0,0.0
2023,2,3110451,20.0,20.0,0.0
2023,3,3110451,20.0,20.0,0.0
2023,1,3110509,18.0,18.0,0.0
2023,2,3110509,18.0,18.0,0.0
2023,3,3110509,18.0,18.0,0.0
2023,1,3110510,9.0,9.0,0.0
2023,2,3110510,9.0,9.0,0.0
2023,3,3110510,9.0,9.0,0.0
2023,1,3110488,21.0,21.0,0.0
2023,2,3110488,21.0,21.0,0.0
2023,3,3110488,21.0,21.0,0.0
2023,1,3110489,2.0,2.0,0.0
2023,2,3110489,2.0,2.0,0.0
2023,3,3110489,2.0,2.0,0.0
2023,1,3110490,17.0,17.0,0.0
2023,2,3110490,17.0,17.0,0.0
2023,3,3110490,17.0,17.0,0.0
2023,1,3110475,13.0,13.0,0.0
2023,2,3110475,13.0,13.0,0.0
2023,3,3110475,13.0,13.0,0.0
2023,1,3110476,4.0,4.0,0.0
2023,2,3110476,4.0,4.0,0.0
2023,3,3110476,4.0,4.0,0.0
2023,1,3110526,29.0,29.0,0.0
2023,2,3110526,29.0,29.0,0.0
2023,3,3110526,29.0,29.0,0.0
2023,1,3110498,6.0,6.0,0.0
2023,2,3110498,6.0,6.0,0.0
2023,3,3110498,6.0,6.0,0.0
2023,1,3110499,27.0,27.0,0.0
